year,month,region,temp_anomaly,co2,ch4,n2o,tsi,owid_co2,owid_co2_luc,owid_primary_energy,aerosol_optical_depth,decimal_year,time_since_baseline,co2_growth,co2_ma12,ch4_growth,ch4_ma12,n2o_growth,n2o_ma12,temp_ma12,aerosol_log,aerosol_ma12,tsi_anomaly,month_sin,month_cos,co2_norm,ch4_norm,n2o_norm,co2_growth_norm,ch4_growth_norm,n2o_growth_norm,co2_ma12_norm,ch4_ma12_norm,n2o_ma12_norm,tsi_norm,tsi_anomaly_norm,aerosol_optical_depth_norm,aerosol_log_norm,aerosol_ma12_norm,owid_co2_norm,owid_co2_luc_norm,owid_primary_energy_norm,time_since_baseline_norm,month_sin_norm,month_cos_norm
2002,1,Global,0.755,372.51,1774.12,316.93,1362.1405334472656,26265.332,32359.027,113894.43,0.0,2002.0,23.0,1.8199999999999927,370.7191666666667,1.25,1771.4250000000002,0.6299999999999955,316.4166666666667,0.5554166666666667,0.0,0.0,0.5182196299235784,0.4999999999999999,0.8660254037844387,-1.587404438928486,-1.0982566182784386,-1.5015393114923827,-0.8669947901052679,-1.0868418763563308,-1.193100806046153,-1.6544177414165933,-1.1300216198936412,-1.5323124498638883,1.3923978604223237,1.3923978604222949,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.7251611905152764,0.7068505366478971,1.2243010428314847
2002,2,Global,0.775,372.91,1772.86,316.97,1362.1496276855469,26265.332,32359.027,113894.43,0.0,2002.0833333333333,23.083333333333258,1.7300000000000182,370.8633333333333,0.3399999999999181,1771.4533333333331,0.660000000000025,316.47166666666664,0.5841666666666666,0.0,0.0,0.5273138682048284,0.8660254037844386,0.5000000000000001,-1.5607672214802983,-1.1233681597843763,-1.495230802975918,-1.0401149716664286,-1.2625646079200292,-1.073269720722624,-1.6447149824432772,-1.1294352484220553,-1.5235411077045058,1.415860086145931,1.4158600861459019,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.7126145636751768,1.2243010428314844,0.7068505366478973
2002,3,Global,0.875,373.38,1773.41,316.96,1362.158721923828,26265.332,32359.027,113894.43,0.0,2002.1666666666667,23.166666666666742,1.8000000000000114,371.0133333333333,-0.2400000000000091,1771.4333333333332,0.75,316.53416666666664,0.61125,0.0,0.0,0.5364081064860784,1.0,6.123233995736766e-17,-1.5294684909786826,-1.1124067726190823,-1.496807930105041,-0.9054659415632788,-1.3745637115540108,-0.7137764647524915,-1.6346196262860624,-1.129849157696121,-1.513573673432471,1.4393223118689513,1.439322311869509,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.7000679368350429,1.4137010732957944,1.5343957306075585e-16
2002,4,Global,0.565,373.73,1772.74,316.9,1362.1678161621094,26265.332,32359.027,113894.43,0.0,2002.25,23.25,1.830000000000041,371.1658333333333,-1.1299999999998818,1771.3391666666666,0.7799999999999727,316.5991666666667,0.6166666666666667,0.0,0.0,0.5455023447673284,0.8660254037844387,-0.4999999999999998,-1.506160925711519,-1.1257597351658921,-1.5062706928797334,-0.847759214376152,-1.5464244050613243,-0.5939453794291896,-1.6243560141928979,-1.1317979805281788,-1.503207541789546,1.4627845375931452,1.462784537593116,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.687521309994943,1.2243010428314847,-0.7068505366478968
2002,5,Global,0.635,373.71,1770.28,316.85,1362.1769104003906,26265.332,32359.027,113894.43,0.0,2002.3333333333333,23.333333333333258,1.9499999999999889,371.3283333333333,-0.6000000000001364,1771.2891666666665,0.7400000000000091,316.6608333333333,0.6220833333333333,0.0,0.0,0.5545965830485784,0.4999999999999999,-0.8660254037844387,-1.5074927865839307,-1.17478703048701,-1.5141563285253028,-0.6169323056279725,-1.4440803965682396,-0.7537201598602588,-1.6134193783559159,-1.1328327537133476,-1.4933730066411475,1.4862467633167522,1.4862467633167231,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6749746831548433,0.7068505366478971,-1.2243010428314847
2002,6,Global,0.525,372.84,1766.89,316.83,1362.186004638672,26265.332,32359.027,113894.43,0.0,2002.4166666666667,23.416666666666742,2.009999999999991,371.4958333333333,0.790000000000191,1771.3550000000002,0.6699999999999591,316.71666666666664,0.6225,0.0,0.0,0.5636908213298284,1.2246467991473532e-16,-1.0,-1.565428734533734,-1.2423490350148885,-1.5173105827835396,-0.5015188512538288,-1.1756687516522213,-1.0333260256150838,-1.602146230647031,-1.131470302352871,-1.4844687653581288,1.5097089890409459,1.5097089890403301,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6624280563147096,2.127077372308945e-16,-1.4137010732957944
2002,7,Global,0.605,371.41,1764.26,316.82,1362.1697235107422,26265.332,32359.027,113894.43,0.0,2002.5,23.5,1.9600000000000364,371.6591666666666,1.240000000000009,1771.4583333333333,0.589999999999975,316.7658333333333,0.6237499999999999,0.0,0.0,0.5474096934001409,-0.4999999999999997,-0.8660254037844388,-1.6606567869109936,-1.294764395459825,-1.5188877099126536,-0.5976967298988578,-1.0887728953845013,-1.352875586477449,-1.5911535094980687,-1.1293317711035367,-1.4766277170641262,1.4677053064110157,1.4677053064109866,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6498814294746098,-0.7068505366478968,-1.2243010428314849
2002,8,Global,0.525,370.35,1766.98,316.82,1362.1280670166016,26265.332,32359.027,113894.43,0.0,2002.5833333333333,23.583333333333258,2.0400000000000205,371.82916666666665,2.4700000000000277,1771.6641666666667,0.5199999999999818,316.80916666666667,0.6275000000000001,0.0,0.0,0.5057531992595159,-0.8660254037844385,-0.5000000000000004,-1.731245413148685,-1.2405553534787517,-1.5188877099126536,-0.443812124066702,-0.8512575549193003,-1.6324814522320472,-1.5797121058532226,-1.125071954824605,-1.4697169626355127,1.3602357154287215,1.3602357154286926,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.63733480263451,-1.2243010428314844,-0.7068505366478978
2002,9,Global,0.625,370.67,1773.76,316.87,1362.086410522461,26265.332,32359.027,113894.43,0.0,2002.6666666666667,23.666666666666742,2.3100000000000023,372.0216666666667,3.3199999999999363,1771.940833333333,0.4599999999999795,316.8475,0.6370833333333333,0.0,0.0,0.4640967051188909,-1.0,-1.8369701987210294e-16,-1.709935639190137,-1.1054313444229902,-1.5110020742670751,0.07554842061689218,-0.6871209375246692,-1.8721436228788781,-1.5667563987847963,-1.119346209866697,-1.4636036029486612,1.252766124446427,1.2527661244463986,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6247881757943763,-1.4137010732957944,-1.9281732581181857e-16
2002,10,Global,0.535,371.95,1778.26,316.99,1362.0447540283203,26265.332,32359.027,113894.43,0.0,2002.75,23.75,2.240000000000009,372.2083333333333,2.769999999999982,1772.1716666666669,0.4000000000000341,316.8808333333333,0.6408333333333334,0.0,0.0,0.4224402109782659,-0.8660254037844386,0.5000000000000001,-1.6246965433559457,-1.0157472676160686,-1.4920765487176901,-0.05910060948625781,-0.7933269840741389,-2.1118057935254817,-1.5541932889002688,-1.1145690069951766,-1.458287638003581,1.1452965334641327,1.1452965334641043,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6122415489542765,-1.2243010428314844,0.7068505366478973
