feature,mean,std
co2,396.34739130434775,15.01658349931177
ch4,1829.226268115942,50.176131150771894
n2o,326.45072463768116,6.340642942087537
co2_growth,2.27072463768116,0.5198700647629514
ch4_growth,6.878333333333334,5.178612874397595
n2o_growth,0.9286956521739133,0.25035240162461453
co2_ma12,395.3010295893719,14.85831680072352
ch4_ma12,1826.0273822463769,48.31976776826263
n2o_ma12,326.0249094202899,6.270420079453551
tsi,1361.6008234438689,0.38761191663498484
tsi_anomaly,-0.021490373473160736,0.3876119166349858
aerosol_optical_depth,0.0,0.0
aerosol_log,0.0,0.0
aerosol_ma12,0.0,0.0
owid_co2,33831.04386956522,3400.900703040109
owid_co2_luc,39591.081,2948.4652351050663
owid_primary_energy,147348.73604347825,17065.057941769373
time_since_baseline,34.458333333333336,6.641891433872869
month_sin,-2.7996928447069164e-17,0.7073631186179102
month_cos,-4.7305154962289277e-17,0.7073631186179102
